Age,CabinNumber,CryoSleep,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Deck_nan,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Destination_nan,FoodCourt,HomePlanet_Europa,HomePlanet_Mars,HomePlanet_nan,PassengerId,RoomService,ShoppingMall,Side_S,Side_nan,Spa,Transported,VIP,VRDeck
3.0,1476,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9081_08,0.0,0.0,0.0,0.0,0.0,1,0,0.0
45.0,290,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,226.0,0.0,0.0,0.0,4649_01,1399.0,0.0,0.0,0.0,0.0,0,0,0.0
13.0,656,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3163_01,1007.0,142.0,0.0,0.0,295.0,0,0,0.0
54.0,501,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7544_01,118.0,0.0,1.0,0.0,669.0,0,0,0.0
26.0,439,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2239_01,93.0,469.0,1.0,0.0,0.0,1,0,0.0
24.0,557,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,193.0,0.0,0.0,1.0,2688_01,13.0,0.0,0.0,0.0,0.0,0,0,591.0
52.0,184,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,131.0,0.0,1.0,0.0,5876_01,1364.0,444.0,0.0,0.0,0.0,1,0,0.0
36.0,824,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,52.0,0.0,0.0,0.0,5034_01,0.0,8.0,1.0,0.0,0.0,0,0,4160.0
8.0,1167,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7152_01,0.0,0.0,1.0,0.0,0.0,1,0,0.0
29.0,518,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7888_01,37.0,644.0,1.0,0.0,0.0,1,0,177.0
